"Period","Monetary Base","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP","Ratio: Monetary Base to GDP","Mean_of_Ratio"
"Q3 2010",59923,-1.68660071204738,4.82760090927788,57808.6666666667,2114.33333333334,3512.28044871795,51259.78125,8663.21875,9045.29567307692,1665372,0.0359817506238846,0.036270832949766
"Q4 2010",60547,-0.939120760458762,4.82760090927788,58430.1666666667,2116.83333333334,3512.28044871795,51793.125,8753.875,9045.29567307692,1701548,0.0355834804542687,0.036270832949766
"Q1 2011",61040,-1.32238352355395,4.82760090927788,59071.0833333333,1968.91666666666,3512.28044871795,52332.96875,8707.03125,9045.29567307692,1737952,0.0351217985306844,0.036270832949766
"Q2 2011",61582,2.76169339362891,4.82760090927788,59702.6666666667,1879.33333333334,3512.28044871795,52889.875,8692.125,9045.29567307692,1759852,0.0349927152965136,0.036270832949766
"Q3 2011",62838,4.8645762061312,4.82760090927788,60375.25,2462.75,3512.28044871795,53479.5,9358.5,9045.29567307692,1785748,0.0351886156389367,0.036270832949766
"Q4 2011",63664,5.14806679108792,4.82760090927788,60943.0833333333,2720.91666666666,3512.28044871795,54087.71875,9576.28125,9045.29567307692,1812700,0.0351210900866111,0.036270832949766
"Q1 2012",64202,5.18020969855832,4.82760090927788,61521.1666666667,2680.83333333334,3512.28044871795,54695.21875,9506.78125,9045.29567307692,1815120,0.0353706641985103,0.036270832949766
"Q2 2012",65028,5.59579097788315,4.82760090927788,61890.0833333333,3137.91666666666,3512.28044871795,55307.8125,9720.1875,9045.29567307692,1818984,0.0357496272644509,0.036270832949766
"Q3 2012",65486,4.2140106305102,4.82760090927788,62268,3218,3512.28044871795,55926.96875,9559.03125,9045.29567307692,1830636,0.0357722671246496,0.036270832949766
"Q4 2012",66102,3.82947976878613,4.82760090927788,62683.0833333333,3418.91666666666,3512.28044871795,56554.59375,9547.40625,9045.29567307692,1844064,0.0358458274767036,0.036270832949766
"Q1 2013",66976,4.32073767172362,4.82760090927788,63109.5833333333,3866.41666666666,3512.28044871795,57188.75,9787.25,9045.29567307692,1876844,0.0356854378946785,0.036270832949766
